subNum	 version	 completed	 trialNo	 fixNo	 xFix	 yFix	 fixStartTime	 fixEndTime	 targPresent	 targSide	 easySide	 var	 con
2	 T	 2	 1	 1	 510	 390	 5263451	 5264987	 1	 left	 x	 1.7	 full
2	 T	 2	 1	 2	 647	 505	 5265028	 5265163	 1	 left	 x	 1.7	 full
2	 T	 2	 1	 3	 720	 542	 5265187	 5265372	 1	 left	 x	 1.7	 full
2	 T	 2	 1	 4	 331	 596	 5265445	 5265576	 1	 left	 x	 1.7	 full
2	 T	 2	 1	 5	 349	 590	 5265597	 5265750	 1	 left	 x	 1.7	 full
2	 T	 2	 1	 6	 546	 314	 5265815	 5266025	 1	 left	 x	 1.7	 full
2	 T	 2	 1	 7	 526	 324	 5266047	 5266182	 1	 left	 x	 1.7	 full
2	 T	 2	 2	 1	 508	 381	 5268758	 5270131	 1	 left	 x	 6	 full
2	 T	 2	 3	 1	 506	 388	 5271759	 5272793	 1	 right	 x	 6	 full
2	 T	 2	 3	 2	 638	 565	 5272839	 5272940	 1	 right	 x	 6	 full
2	 T	 2	 3	 3	 663	 618	 5272963	 5273094	 1	 right	 x	 6	 full
2	 T	 2	 4	 1	 517	 385	 5274550	 5275902	 1	 left	 L	 x	 half
2	 T	 2	 5	 1	 519	 385	 5277051	 5279115	 1	 right	 L	 x	 half
2	 T	 2	 6	 1	 505	 385	 5280894	 5281823	 0	 x	 x	 6	 full
2	 T	 2	 6	 2	 487	 365	 5281832	 5282252	 0	 x	 x	 6	 full
2	 T	 2	 7	 1	 499	 380	 5283793	 5285029	 0	 x	 L	 x	 half
2	 T	 2	 7	 2	 535	 394	 5285051	 5285274	 0	 x	 L	 x	 half
2	 T	 2	 7	 3	 577	 398	 5285297	 5285810	 0	 x	 L	 x	 half
2	 T	 2	 7	 4	 917	 501	 5285866	 5286151	 0	 x	 L	 x	 half
2	 T	 2	 7	 5	 910	 490	 5286162	 5286272	 0	 x	 L	 x	 half
2	 T	 2	 7	 6	 912	 323	 5286319	 5286491	 0	 x	 L	 x	 half
2	 T	 2	 7	 7	 549	 210	 5286564	 5286882	 0	 x	 L	 x	 half
2	 T	 2	 7	 8	 511	 395	 5286931	 5287002	 0	 x	 L	 x	 half
2	 T	 2	 8	 1	 509	 380	 5288722	 5290090	 0	 x	 x	 1.7	 full
2	 T	 2	 8	 2	 938	 462	 5290154	 5290381	 0	 x	 x	 1.7	 full
2	 T	 2	 8	 3	 896	 455	 5290401	 5290537	 0	 x	 x	 1.7	 full
2	 T	 2	 8	 4	 576	 677	 5290607	 5290939	 0	 x	 x	 1.7	 full
2	 T	 2	 8	 5	 153	 565	 5291014	 5291149	 0	 x	 x	 1.7	 full
2	 T	 2	 8	 6	 150	 278	 5291202	 5291383	 0	 x	 x	 1.7	 full
2	 T	 2	 9	 1	 508	 385	 5292883	 5294463	 1	 right	 x	 6	 full
2	 T	 2	 10	 1	 509	 383	 5296441	 5297713	 1	 right	 x	 1.7	 full
2	 T	 2	 10	 2	 928	 272	 5297780	 5297895	 1	 right	 x	 1.7	 full
2	 T	 2	 10	 3	 943	 230	 5297919	 5298097	 1	 right	 x	 1.7	 full
2	 T	 2	 11	 1	 515	 382	 5299651	 5300873	 1	 right	 L	 x	 half
2	 T	 2	 11	 2	 766	 410	 5300925	 5301134	 1	 right	 L	 x	 half
2	 T	 2	 11	 3	 855	 216	 5301187	 5301251	 1	 right	 L	 x	 half
2	 T	 2	 11	 4	 867	 156	 5301276	 5301346	 1	 right	 L	 x	 half
2	 T	 2	 11	 5	 898	 85	 5301372	 5301546	 1	 right	 L	 x	 half
2	 T	 2	 12	 1	 507	 382	 5303848	 5305007	 1	 left	 x	 1.7	 full
2	 T	 2	 12	 2	 164	 416	 5305077	 5305184	 1	 left	 x	 1.7	 full
2	 T	 2	 12	 3	 136	 418	 5305207	 5305442	 1	 left	 x	 1.7	 full
2	 T	 2	 12	 4	 561	 375	 5305503	 5305564	 1	 left	 x	 1.7	 full
2	 T	 2	 13	 1	 511	 385	 5307222	 5308326	 0	 x	 x	 6	 full
2	 T	 2	 13	 2	 408	 309	 5308370	 5308624	 0	 x	 x	 6	 full
2	 T	 2	 14	 1	 504	 388	 5310472	 5311444	 1	 left	 x	 6	 full
2	 T	 2	 15	 1	 505	 385	 5312910	 5314010	 1	 left	 x	 6	 full
2	 T	 2	 15	 2	 372	 493	 5314063	 5314179	 1	 left	 x	 6	 full
2	 T	 2	 16	 1	 508	 383	 5315622	 5317045	 1	 right	 R	 x	 half
2	 T	 2	 17	 1	 504	 385	 5318357	 5319956	 0	 x	 x	 1.7	 full
2	 T	 2	 17	 2	 159	 173	 5320013	 5320295	 0	 x	 x	 1.7	 full
2	 T	 2	 17	 3	 255	 557	 5320381	 5320615	 0	 x	 x	 1.7	 full
2	 T	 2	 18	 1	 497	 384	 5322297	 5323318	 0	 x	 x	 1.7	 full
2	 T	 2	 18	 2	 192	 375	 5323389	 5323642	 0	 x	 x	 1.7	 full
2	 T	 2	 18	 3	 359	 669	 5323702	 5323920	 0	 x	 x	 1.7	 full
2	 T	 2	 18	 4	 604	 699	 5323969	 5324040	 0	 x	 x	 1.7	 full
2	 T	 2	 18	 5	 718	 703	 5324075	 5324280	 0	 x	 x	 1.7	 full
2	 T	 2	 18	 6	 777	 305	 5324347	 5324535	 0	 x	 x	 1.7	 full
2	 T	 2	 19	 1	 502	 393	 5325903	 5327295	 1	 left	 x	 6	 full
2	 T	 2	 20	 1	 509	 391	 5329116	 5329955	 0	 x	 R	 x	 half
2	 T	 2	 20	 2	 786	 337	 5330005	 5330283	 0	 x	 R	 x	 half
2	 T	 2	 20	 3	 209	 421	 5330375	 5330678	 0	 x	 R	 x	 half
2	 T	 2	 20	 4	 262	 466	 5330703	 5331056	 0	 x	 R	 x	 half
2	 T	 2	 21	 1	 511	 388	 5332795	 5333730	 0	 x	 x	 1.7	 full
2	 T	 2	 21	 2	 620	 411	 5333762	 5333846	 0	 x	 x	 1.7	 full
2	 T	 2	 21	 3	 809	 438	 5333889	 5334135	 0	 x	 x	 1.7	 full
2	 T	 2	 21	 4	 842	 644	 5334182	 5334431	 0	 x	 x	 1.7	 full
2	 T	 2	 21	 5	 530	 708	 5334489	 5334657	 0	 x	 x	 1.7	 full
2	 T	 2	 21	 6	 109	 437	 5334759	 5334863	 0	 x	 x	 1.7	 full
2	 T	 2	 21	 7	 197	 337	 5334900	 5334956	 0	 x	 x	 1.7	 full
2	 T	 2	 22	 1	 509	 385	 5336553	 5337471	 1	 left	 x	 6	 full
2	 T	 2	 22	 2	 307	 504	 5337525	 5337756	 1	 left	 x	 6	 full
2	 T	 2	 23	 1	 508	 383	 5339201	 5340454	 0	 x	 x	 1.7	 full
2	 T	 2	 23	 2	 715	 525	 5340513	 5340581	 0	 x	 x	 1.7	 full
2	 T	 2	 23	 3	 865	 574	 5340619	 5340865	 0	 x	 x	 1.7	 full
2	 T	 2	 23	 4	 797	 556	 5340889	 5341070	 0	 x	 x	 1.7	 full
2	 T	 2	 23	 5	 767	 552	 5341087	 5341150	 0	 x	 x	 1.7	 full
