subNum	 version	 completed	 trialNo	 easySide	 targPresent	key	 targSide	 RT	 accuracy	 var	 con
2	 T	2	1	 x	1	 l	 left	2.619	1	1.7	 full
2	 T	2	2	 x	1	 l	 left	1.571	1	6	 full
2	 T	2	3	 x	1	 l	 right	1.521	1	6	 full
2	 T	2	4	 L	1	 l	 left	1.431	1	 x	 half
2	 T	2	5	 L	1	 r	 right	1.651	0	 x	 half
2	 T	2	6	 x	0	 r	 x	1.681	1	6	 full
2	 T	2	7	 L	0	 r	 x	3.391	1	 x	 half
2	 T	2	8	 x	0	 r	 x	2.831	1	1.7	 full
2	 T	2	9	 x	1	 l	 right	1.619	1	6	 full
2	 T	2	10	 x	1	 l	 right	1.891	1	1.7	 full
2	 T	2	11	 L	1	 l	 right	2.081	1	 x	 half
2	 T	2	12	 x	1	 l	 left	1.872	1	1.7	 full
2	 T	2	13	 x	0	 r	 x	1.6	1	6	 full
2	 T	2	14	 x	1	 l	 left	1.451	1	6	 full
2	 T	2	15	 x	1	 l	 left	1.461	1	6	 full
2	 T	2	16	 R	1	 l	 right	1.462	1	 x	 half
2	 T	2	17	 x	0	 r	 x	2.322	1	1.7	 full
2	 T	2	18	 x	0	 r	 x	2.588	1	1.7	 full
2	 T	2	19	 x	1	 l	 left	1.427	1	6	 full
2	 T	2	20	 R	0	 r	 x	2.593	1	 x	 half
2	 T	2	21	 x	0	 r	 x	2.576	1	1.7	 full
2	 T	2	22	 x	1	 l	 left	1.488	1	6	 full
2	 T	2	23	 x	0	 r	 x	2.671	1	1.7	 full
2	 T	2	24	 R	0	 r	 x	2.392	1	 x	 half
2	 T	2	25	 x	0	 l	 x	1.611	0	6	 full
2	 T	2	26	 x	1	 l	 right	2.782	1	1.7	 full
2	 T	2	27	 x	1	 l	 left	1.53	1	6	 full
2	 T	2	28	 x	0	 r	 x	3.431	1	1.7	 full
2	 T	2	29	 x	1	 l	 right	1.591	1	6	 full
2	 T	2	30	 x	0	 r	 x	1.632	1	6	 full
2	 T	2	31	 L	1	 l	 right	2.57	1	 x	 half
2	 T	2	32	 x	0	 r	 x	1.541	1	6	 full
2	 T	2	33	 x	0	 r	 x	2.521	1	1.7	 full
2	 T	2	34	 R	0	 r	 x	2.721	1	 x	 half
2	 T	2	35	 L	1	 l	 left	1.511	1	 x	 half
2	 T	2	36	 R	0	 r	 x	2.914	1	 x	 half
2	 T	2	37	 x	1	 l	 left	1.641	1	6	 full
2	 T	2	38	 x	1	 l	 left	1.481	1	6	 full
2	 T	2	39	 x	0	 r	 x	1.711	1	6	 full
2	 T	2	40	 L	0	 r	 x	3.116	1	 x	 half
2	 T	2	41	 x	0	 r	 x	1.541	1	6	 full
2	 T	2	42	 x	1	 l	 right	1.552	1	6	 full
2	 T	2	43	 x	1	 l	 right	2.403	1	1.7	 full
2	 T	2	44	 R	1	 l	 right	1.551	1	 x	 half
2	 T	2	45	 x	1	 l	 left	1.712	1	1.7	 full
2	 T	2	46	 L	1	 l	 left	1.524	1	 x	 half
2	 T	2	47	 L	1	 r	 right	3.046	0	 x	 half
2	 T	2	48	 L	1	 l	 left	1.472	1	 x	 half
2	 T	2	49	 L	1	 l	 right	1.572	1	 x	 half
2	 T	2	50	 L	0	 r	 x	2.711	1	 x	 half
2	 T	2	51	 x	1	 l	 right	1.688	1	1.7	 full
2	 T	2	52	 R	1	 l	 left	1.921	1	 x	 half
2	 T	2	53	 x	1	 l	 right	1.612	1	1.7	 full
2	 T	2	54	 x	1	 l	 left	1.611	1	1.7	 full
2	 T	2	55	 R	0	 r	 x	1.786	1	 x	 half
2	 T	2	56	 L	0	 r	 x	2.521	1	 x	 half
2	 T	2	57	 x	1	 l	 left	1.514	1	6	 full
2	 T	2	58	 x	0	 r	 x	1.722	1	1.7	 full
2	 T	2	59	 x	0	 r	 x	2.502	1	1.7	 full
2	 T	2	60	 R	1	 l	 right	1.49	1	 x	 half
2	 T	2	61	 x	0	 r	 x	1.601	1	1.7	 full
2	 T	2	62	 L	1	 l	 left	1.56	1	 x	 half
2	 T	2	63	 x	0	 r	 x	1.541	1	6	 full
2	 T	2	64	 R	1	 l	 right	1.531	1	 x	 half
2	 T	2	65	 x	0	 r	 x	1.563	1	6	 full
2	 T	2	66	 x	1	 l	 right	1.692	1	6	 full
2	 T	2	67	 R	0	 r	 x	1.512	1	 x	 half
2	 T	2	68	 R	0	 r	 x	1.882	1	 x	 half
2	 T	2	69	 x	0	 r	 x	2.712	1	1.7	 full
2	 T	2	70	 x	1	 l	 left	1.583	1	1.7	 full
2	 T	2	71	 x	0	 r	 x	1.542	1	6	 full
2	 T	2	72	 x	0	 r	 x	1.592	1	1.7	 full
2	 T	2	73	 x	1	 l	 left	2.792	1	1.7	 full
2	 T	2	74	 x	0	 r	 x	1.649	1	6	 full
2	 T	2	75	 R	1	 r	 left	2.73	0	 x	 half
2	 T	2	76	 x	0	 r	 x	2.761	1	1.7	 full
2	 T	2	77	 x	0	 r	 x	2.747	1	1.7	 full
2	 T	2	78	 x	0	 r	 x	1.462	1	6	 full
2	 T	2	79	 x	0	 r	 x	1.542	1	1.7	 full
2	 T	2	80	 R	1	 l	 right	1.522	1	 x	 half
2	 T	2	81	 x	0	 r	 x	1.493	1	6	 full
2	 T	2	82	 R	0	 r	 x	2.632	1	 x	 half
2	 T	2	83	 L	0	 r	 x	2.892	1	 x	 half
