"subj","targSide","version","completed","condition","acc"
"2","hetrogeneous","untimed","first","full",1
"4","hetrogeneous","untimed","first","full",0.975
"6","hetrogeneous","untimed","first","full",1
"8","hetrogeneous","untimed","first","full",1
"10","hetrogeneous","untimed","first","full",1
"14","hetrogeneous","untimed","first","full",0.95
"16","hetrogeneous","untimed","first","full",1
"18","hetrogeneous","untimed","first","full",1
"20","hetrogeneous","untimed","first","full",0.925
"2","homogeneous","untimed","first","full",0.925
"4","homogeneous","untimed","first","full",0.575
"6","homogeneous","untimed","first","full",0.85
"8","homogeneous","untimed","first","full",0.675
"10","homogeneous","untimed","first","full",0.825
"14","homogeneous","untimed","first","full",0.725
"16","homogeneous","untimed","first","full",0.475
"18","homogeneous","untimed","first","full",0.85
"20","homogeneous","untimed","first","full",0.725
"2","absent","untimed","first","full",1
"4","absent","untimed","first","full",1
"6","absent","untimed","first","full",1
"8","absent","untimed","first","full",0.95
"10","absent","untimed","first","full",1
"14","absent","untimed","first","full",1
"16","absent","untimed","first","full",0.9875
"18","absent","untimed","first","full",1
"20","absent","untimed","first","full",0.9625
"3","hetrogeneous","timed","first","full",1
"5","hetrogeneous","timed","first","full",1
"7","hetrogeneous","timed","first","full",0.975
"9","hetrogeneous","timed","first","full",1
"11","hetrogeneous","timed","first","full",0.9
"13","hetrogeneous","timed","first","full",1
"15","hetrogeneous","timed","first","full",0.95
"17","hetrogeneous","timed","first","full",0.975
"19","hetrogeneous","timed","first","full",0.975
"3","homogeneous","timed","first","full",0.55
"5","homogeneous","timed","first","full",0.475
"7","homogeneous","timed","first","full",0.55
"9","homogeneous","timed","first","full",0.325
"11","homogeneous","timed","first","full",0.625
"13","homogeneous","timed","first","full",0.65
"15","homogeneous","timed","first","full",0.35
"17","homogeneous","timed","first","full",0.7
"19","homogeneous","timed","first","full",0.65
"3","absent","timed","first","full",0.9375
"5","absent","timed","first","full",0.9625
"7","absent","timed","first","full",0.8875
"9","absent","timed","first","full",1
"11","absent","timed","first","full",0.9375
"13","absent","timed","first","full",0.975
"15","absent","timed","first","full",0.9375
"17","absent","timed","first","full",0.9875
"19","absent","timed","first","full",0.9625
"3","hetrogeneous","untimed","second","full",0.975
"5","hetrogeneous","untimed","second","full",1
"7","hetrogeneous","untimed","second","full",0.875
"9","hetrogeneous","untimed","second","full",1
"11","hetrogeneous","untimed","second","full",1
"13","hetrogeneous","untimed","second","full",1
"15","hetrogeneous","untimed","second","full",0.975
"17","hetrogeneous","untimed","second","full",1
"19","hetrogeneous","untimed","second","full",0.975
"3","homogeneous","untimed","second","full",0.5
"5","homogeneous","untimed","second","full",0.725
"7","homogeneous","untimed","second","full",0.675
"9","homogeneous","untimed","second","full",0.6
"11","homogeneous","untimed","second","full",0.7
