"subj","medianRT_homo","medianRT_hetro","propHomo"
"1","10",1.569,1.6165,0.433986928104575
"2","11",1.619,1.688,0.490228013029316
"3","13",1.51,1.5895,0.353103448275862
"4","14",1.7025,1.8755,0.4962852897474
"5","15",1.843,1.908,0.518817204301075
"6","16",1.6845,1.72,0.400990099009901
"7","17",1.699,1.758,0.454545454545455
"8","18",1.544,1.61,0.448467966573816
"9","19",1.644,1.72,0.424802110817942
"10","2",1.582,1.701,0.323049001814882
"11","20",1.829,2.039,0.520491803278688
"12","3",1.5865,1.689,0.457142857142857
"13","4",1.6945,1.857,0.483333333333333
"14","5",1.615,1.6935,0.4144
"15","6",1.5185,1.588,0.522388059701492
"16","7",1.778,1.879,0.441348973607038
"17","8",1.65,1.813,0.402002861230329
"18","9",1.709,1.779,0.523680649526387
