subNum	 trialNo	 fixNo	 trialType	 xFix	 yFix	 fixStartTime	 fixEndTime	 hemianopia	 targPresent	 targSide	 row	 column	 easySide	 RtFirstFix
1	 1	 2	 Ul	 858	 499	 781035	 781372	 l	 1	 left	 15	 9	 R	 424
1	 2	 2	 Ul	 801	 541	 786673	 787120	 l	 0	 x	 0	 0	 L	 241
1	 3	 2	 Ul	 822	 593	 793322	 793553	 l	 1	 right	 14	 16	 L	 509
1	 4	 2	 Ul	 724	 520	 798484	 798621	 l	 1	 left	 4	 2	 R	 329
1	 5	 2	 Ul	 642	 524	 802635	 802764	 l	 0	 x	 0	 0	 L	 456
1	 6	 2	 Ul	 844	 506	 808266	 808329	 l	 0	 x	 0	 0	 R	 316
1	 7	 2	 Ul	 373	 600	 814510	 814957	 l	 1	 left	 10	 7	 L	 419
1	 8	 2	 Ul	 934	 458	 818142	 818381	 l	 0	 x	 0	 0	 L	 477
1	 9	 2	 Ul	 841	 392	 823249	 823466	 l	 1	 right	 6	 16	 R	 282
1	 10	 2	 Ul	 948	 619	 826835	 826990	 l	 1	 right	 12	 19	 R	 283
1	 11	 2	 Ul	 256	 604	 830607	 830845	 l	 0	 x	 0	 0	 R	 490
1	 12	 2	 Ul	 199	 582	 835986	 836125	 l	 1	 left	 10	 4	 L	 547
1	 13	 2	 Ul	 264	 439	 839904	 840130	 l	 0	 x	 0	 0	 R	 571
1	 14	 2	 Ul	 295	 412	 844507	 844703	 l	 0	 x	 0	 0	 R	 441
1	 15	 2	 Ul	 120	 273	 849861	 850042	 l	 1	 left	 4	 2	 L	 503
1	 17	 2	 Ul	 523	 530	 856721	 856904	 l	 1	 left	 2	 8	 R	 673
1	 18	 2	 Ul	 1056	 589	 862897	 863119	 l	 0	 x	 0	 0	 L	 509
1	 19	 2	 Ul	 363	 317	 868207	 868405	 l	 0	 x	 0	 0	 R	 516
1	 20	 2	 Ul	 956	 743	 873499	 873654	 l	 1	 right	 14	 18	 L	 536
1	 21	 2	 Ul	 203	 60	 877499	 877772	 l	 1	 left	 1	 4	 L	 622
1	 22	 2	 Ul	 750	 294	 881412	 881777	 l	 1	 right	 4	 14	 R	 282
1	 23	 2	 Ul	 1042	 531	 885055	 885461	 l	 1	 right	 9	 19	 R	 570
1	 24	 2	 Ul	 863	 740	 889338	 889516	 l	 1	 right	 13	 16	 R	 369
1	 25	 2	 Ul	 744	 501	 908674	 908903	 l	 0	 x	 0	 0	 R	 334
1	 26	 2	 Ul	 882	 583	 913493	 913723	 l	 1	 right	 14	 17	 L	 311
1	 27	 2	 Ul	 259	 664	 918383	 918637	 l	 1	 left	 11	 3	 R	 518
1	 28	 2	 Ul	 671	 349	 921955	 922113	 l	 0	 x	 0	 0	 L	 285
1	 29	 2	 Ul	 285	 505	 927430	 927617	 l	 0	 x	 0	 0	 R	 518
