"subj","targSide","var","condition","acc"
"1","hetrogeneous","hetero","full",0.9
"2","hetrogeneous","hetero","full",0.55
"3","hetrogeneous","hetero","full",0.75
"4","hetrogeneous","hetero","full",0.6
"5","hetrogeneous","hetero","full",0.425
"6","hetrogeneous","hetero","full",0.375
"7","hetrogeneous","hetero","full",0.2
"8","hetrogeneous","hetero","full",0.725
"9","hetrogeneous","hetero","full",0.525
"10","hetrogeneous","hetero","full",0.3
"11","hetrogeneous","hetero","full",0.725
"12","hetrogeneous","hetero","full",0.55
"13","hetrogeneous","hetero","full",0.75
"14","hetrogeneous","hetero","full",0.325
"1","absent","hetero","full",0.85
"2","absent","hetero","full",0.825
"3","absent","hetero","full",1
"4","absent","hetero","full",0.975
"5","absent","hetero","full",0.975
"6","absent","hetero","full",0.975
"7","absent","hetero","full",0.9
"8","absent","hetero","full",0.85
"9","absent","hetero","full",0.925
"10","absent","hetero","full",0.9
"11","absent","hetero","full",1
"12","absent","hetero","full",0.975
"13","absent","hetero","full",1
"14","absent","hetero","full",0.925
"1","homogeneous","homo","full",0.975
"2","homogeneous","homo","full",0.975
"3","homogeneous","homo","full",0.975
"4","homogeneous","homo","full",0.95
"5","homogeneous","homo","full",0.875
"6","homogeneous","homo","full",1
"7","homogeneous","homo","full",1
"8","homogeneous","homo","full",0.975
"9","homogeneous","homo","full",0.95
"10","homogeneous","homo","full",1
"11","homogeneous","homo","full",0.975
"12","homogeneous","homo","full",1
"13","homogeneous","homo","full",0.975
"14","homogeneous","homo","full",1
"1","absent","homo","full",1
"2","absent","homo","full",1
"3","absent","homo","full",1
"4","absent","homo","full",0.975
"5","absent","homo","full",0.975
"6","absent","homo","full",1
"7","absent","homo","full",0.975
"8","absent","homo","full",0.85
"9","absent","homo","full",1
"10","absent","homo","full",0.975
"11","absent","homo","full",0.975
"12","absent","homo","full",1
"13","absent","homo","full",1
"14","absent","homo","full",0.975
"1","hetrogeneous","x","half",0.733333333333333
"2","hetrogeneous","x","half",0.666666666666667
"3","hetrogeneous","x","half",0.8
"4","hetrogeneous","x","half",0.2
"5","hetrogeneous","x","half",0.4
"6","hetrogeneous","x","half",0.466666666666667
"7","hetrogeneous","x","half",0.133333333333333
"8","hetrogeneous","x","half",0.466666666666667
"9","hetrogeneous","x","half",0.2
"10","hetrogeneous","x","half",0.2
"11","hetrogeneous","x","half",0.6
"12","hetrogeneous","x","half",0.6
"13","hetrogeneous","x","half",0.866666666666667
"14","hetrogeneous","x","half",0.4
"1","homogeneous","x","half",1
"2","homogeneous","x","half",1
"3","homogeneous","x","half",1
"4","homogeneous","x","half",0.96
"5","homogeneous","x","half",0.96
"6","homogeneous","x","half",1
"7","homogeneous","x","half",0.84
"8","homogeneous","x","half",1
"9","homogeneous","x","half",1
"10","homogeneous","x","half",1
"11","homogeneous","x","half",1
"12","homogeneous","x","half",1
"13","homogeneous","x","half",0.96
"14","homogeneous","x","half",0.92
"1","absent","x","half",0.975
"2","absent","x","half",0.85
"3","absent","x","half",1
"4","absent","x","half",1
"5","absent","x","half",0.875
"6","absent","x","half",1
"7","absent","x","half",1
"8","absent","x","half",0.85
"9","absent","x","half",0.975
"10","absent","x","half",0.95
"11","absent","x","half",0.975
"12","absent","x","half",1
"13","absent","x","half",1
"14","absent","x","half",0.85
