subNum	 trialNo	 fixNo	 xFix	 yFix	 fixStartTime	 fixEndTime	 targPresent	 targSide	 easySide	 var	 con
1	 1	 1	 514	 386	 3984426	 3986231	 0	 x	 x	 6	 full
1	 1	 2	 446	 296	 3986260	 3986311	 0	 x	 x	 6	 full
1	 1	 3	 402	 194	 3986341	 3986492	 0	 x	 x	 6	 full
1	 1	 4	 894	 124	 3986558	 3986770	 0	 x	 x	 6	 full
1	 1	 5	 980	 150	 3986799	 3986902	 0	 x	 x	 6	 full
1	 1	 6	 925	 522	 3986959	 3987253	 0	 x	 x	 6	 full
1	 1	 7	 769	 731	 3987309	 3987560	 0	 x	 x	 6	 full
1	 1	 8	 341	 704	 3987631	 3987761	 0	 x	 x	 6	 full
1	 1	 9	 359	 646	 3987788	 3987935	 0	 x	 x	 6	 full
1	 1	 10	 395	 608	 3987959	 3988178	 0	 x	 x	 6	 full
1	 1	 11	 417	 357	 3988225	 3988439	 0	 x	 x	 6	 full
1	 1	 12	 356	 244	 3988478	 3988690	 0	 x	 x	 6	 full
1	 1	 13	 323	 67	 3988736	 3989032	 0	 x	 x	 6	 full
1	 1	 14	 223	 97	 3989067	 3989285	 0	 x	 x	 6	 full
1	 1	 15	 49	 92	 3989329	 3989478	 0	 x	 x	 6	 full
1	 1	 16	 563	 127	 3989540	 3989781	 0	 x	 x	 6	 full
1	 1	 17	 759	 209	 3989835	 3990076	 0	 x	 x	 6	 full
1	 1	 18	 568	 390	 3990135	 3990431	 0	 x	 x	 6	 full
1	 1	 19	 643	 365	 3990460	 3990582	 0	 x	 x	 6	 full
1	 1	 20	 830	 433	 3990634	 3990849	 0	 x	 x	 6	 full
1	 1	 21	 774	 382	 3990875	 3991072	 0	 x	 x	 6	 full
1	 1	 22	 672	 367	 3991104	 3991340	 0	 x	 x	 6	 full
1	 1	 23	 636	 325	 3991363	 3991414	 0	 x	 x	 6	 full
1	 2	 1	 537	 381	 3994256	 3994375	 1	 right	 x	 1.7	 full
1	 2	 2	 516	 379	 3994387	 3994688	 1	 right	 x	 1.7	 full
1	 2	 3	 527	 408	 3994707	 3994806	 1	 right	 x	 1.7	 full
1	 2	 4	 713	 285	 3994853	 3994989	 1	 right	 x	 1.7	 full
1	 2	 5	 846	 213	 3995027	 3995091	 1	 right	 x	 1.7	 full
1	 2	 6	 894	 178	 3995118	 3995226	 1	 right	 x	 1.7	 full
1	 2	 7	 926	 69	 3995262	 3995412	 1	 right	 x	 1.7	 full
1	 2	 8	 415	 69	 3995488	 3995754	 1	 right	 x	 1.7	 full
1	 2	 9	 154	 303	 3995808	 3996145	 1	 right	 x	 1.7	 full
1	 2	 10	 166	 272	 3996162	 3996323	 1	 right	 x	 1.7	 full
1	 2	 11	 139	 62	 3996373	 3996510	 1	 right	 x	 1.7	 full
1	 2	 12	 470	 322	 3996576	 3996720	 1	 right	 x	 1.7	 full
1	 2	 13	 732	 569	 3996775	 3996945	 1	 right	 x	 1.7	 full
1	 2	 14	 715	 687	 3996976	 3997105	 1	 right	 x	 1.7	 full
1	 2	 15	 792	 713	 3997133	 3997263	 1	 right	 x	 1.7	 full
1	 2	 16	 769	 694	 3997279	 3998608	 1	 right	 x	 1.7	 full
1	 3	 1	 512	 388	 4002739	 4003530	 0	 x	 x	 1.7	 full
1	 3	 2	 573	 337	 4003555	 4003666	 0	 x	 x	 1.7	 full
1	 3	 3	 597	 270	 4003692	 4003793	 0	 x	 x	 1.7	 full
1	 3	 4	 863	 59	 4003850	 4004135	 0	 x	 x	 1.7	 full
1	 3	 5	 934	 76	 4004166	 4004363	 0	 x	 x	 1.7	 full
1	 3	 6	 870	 212	 4004404	 4004615	 0	 x	 x	 1.7	 full
1	 3	 7	 953	 737	 4004694	 4004798	 0	 x	 x	 1.7	 full
1	 3	 8	 913	 691	 4004820	 4005021	 0	 x	 x	 1.7	 full
1	 3	 9	 389	 710	 4005100	 4005296	 0	 x	 x	 1.7	 full
1	 3	 10	 374	 385	 4005358	 4005532	 0	 x	 x	 1.7	 full
1	 3	 11	 653	 341	 4005587	 4005691	 0	 x	 x	 1.7	 full
1	 3	 12	 841	 373	 4005735	 4005861	 0	 x	 x	 1.7	 full
